#FORMAT,SIGNATURE,VERSION,,,,,,,,,,
FORMAT,SmartGS Config CSV,2,,,,,,,,,,
,,,,,,,,,,,,
#USER,NAME,PASSWORD,AUTH,,,,,,,,,
ACCESSGROUP,kokyaku03,,,,kokyaku02,,,,,,,
ACCESSGROUP,kokyaku04,kokyaku04-user01,,,,,,,,,,
ACCESSGROUP,kokyaku04,,,,kokyaku04,,,,,,,
ACCESSGROUP,kokyaku05,kokyaku05-user01,,,,,,,,,,
ACCESSGROUP,kokyaku05,,,,kokyaku05,,,,,,,
ACCESSGROUP,nojima,nojima,,,,,,,,,,
ACCESSGROUP,nojima,,,,nojima,,,,,,,
ACCESSGROUP,yamada,yamada,,,,,,,,,,
ACCESSGROUP,yamada,,,,yamada,,,,,,,
ACCESSGROUP,yodobashi,yodobashi,,,,,,,,,,
ACCESSGROUP,yodobashi,,,,yodobashi,,,,,,,
,,,,,,,,,,,,
